# Time-averaged data for fix Ave
# TimeStep v_HAg v_HTe
3600 0.0181848 -4.59348
3610 0.0181599 -4.58996
3620 0.018123 -4.58633
3630 0.0182011 -4.58387
3640 0.0185306 -4.58323
3650 0.0190805 -4.58398
3660 0.0196715 -4.58535
3670 0.0201592 -4.58692
3680 0.0204582 -4.58868
3690 0.020596 -4.58994
3700 0.0206074 -4.5911
3710 0.0204428 -4.59185
3720 0.0200938 -4.5927
3730 0.019699 -4.59308
3740 0.0193842 -4.59273
3750 0.0191757 -4.59157
3760 0.0190488 -4.59011
3770 0.018896 -4.58862
3780 0.0185069 -4.58725
3790 0.0177813 -4.58597
3800 0.0169201 -4.58563
3810 0.0162423 -4.58679
3820 0.0159642 -4.59006
3830 0.0161557 -4.59437
3840 0.016785 -4.59804
3850 0.017737 -4.5991
3860 0.018732 -4.59622
3870 0.0194092 -4.59052
3880 0.0195426 -4.58462
3890 0.0192627 -4.58145
3900 0.0189721 -4.58162
3910 0.0190849 -4.58415
3920 0.0197235 -4.58731
3930 0.0207156 -4.58988
3940 0.0217163 -4.59195
3950 0.0224076 -4.59348
3960 0.0225452 -4.5954
3970 0.0220428 -4.59836
3980 0.0210384 -4.60149
3990 0.0198965 -4.60358
4000 0.0190414 -4.60302
4010 0.0187156 -4.59946
4020 0.0188898 -4.59477
4030 0.019438 -4.59119
4040 0.020259 -4.59064
4050 0.0212551 -4.59318
4060 0.0222253 -4.59762
4070 0.0228649 -4.60209
4080 0.0229645 -4.60475
4090 0.0225989 -4.60499
4100 0.0220807 -4.60299
4110 0.0217555 -4.60084
4120 0.0217758 -4.60022
4130 0.0221207 -4.60129
4140 0.0226669 -4.60235
4150 0.0232419 -4.6017
4160 0.0236022 -4.59795
4170 0.0234153 -4.59237
4180 0.0223936 -4.58845
4190 0.0205967 -4.58839
4200 0.0184395 -4.59221
4210 0.0163483 -4.59753
4220 0.0145903 -4.60027
4230 0.0132411 -4.59837
4240 0.0122613 -4.59245
4250 0.011564 -4.58564
4260 0.0110459 -4.5814
4270 0.0105924 -4.58204
4280 0.0101112 -4.58719
4290 0.00956362 -4.59425
4300 0.00901857 -4.60055
4310 0.00866626 -4.60356
4320 0.0087341 -4.60226
4330 0.00934966 -4.59801
4340 0.0104618 -4.59314
4350 0.0119537 -4.59026
4360 0.0137997 -4.59016
4370 0.0159997 -4.59194
4380 0.0184086 -4.59391
4390 0.0206701 -4.59484
4400 0.0223112 -4.59301
4410 0.023002 -4.58936
4420 0.0226876 -4.58552
4430 0.0216227 -4.58448
4440 0.0202043 -4.5876
4450 0.0187934 -4.59432
4460 0.0177226 -4.60073
4470 0.0172716 -4.60308
4480 0.0174499 -4.59942
4490 0.0179635 -4.59142
4500 0.0183893 -4.58378
4510 0.0183586 -4.58046
4520 0.0177223 -4.58257
4530 0.0165851 -4.58843
4540 0.0151653 -4.5948
4550 0.0136972 -4.59922
4560 0.0124151 -4.60052
4570 0.0115428 -4.59899
