# Time-averaged data for fix 2
# TimeStep c_flux[1] c_flux[2] c_flux[3] c_flux[4] c_flux[5] c_flux[6] c_Ag_mom[1] c_Ag_mom[2] c_Ag_mom[3]
960 -69.6129 348.214 -345.817 -20.4257 231.588 -265.864 -599.762 7655.5 -8941.98
970 -10.1495 340.856 -327.698 33.5542 227.247 -250.607 1105.3 7536.61 -8413.65
980 49.757 324.436 -308.352 83.2054 222.186 -237.136 2701.74 7374.27 -7931.4
990 103.733 306.042 -290.458 125.472 216.783 -222.208 4079.17 7197.56 -7427.72
1000 143.69 289.84 -274.086 156.945 210.671 -203.428 5111.7 7004.18 -6836.54
1010 164.529 275.319 -255.765 174.777 203.469 -180.251 5695.69 6792.73 -6125.75
1020 166.657 260.054 -231.1 177.636 195.521 -153.545 5789.01 6570.18 -5288.39
1030 155.731 242.59 -197.425 166.575 186.92 -123.883 5432.89 6331.29 -4317.72
1040 137.119 222.849 -156.716 146.012 176.646 -91.052 4767.11 6036.48 -3203.73
1050 114.434 201.211 -114.008 123.125 163.113 -54.2386 4010.6 5617.16 -1952.05
1060 90.5312 176.844 -72.8089 104.648 144.688 -13.5433 3380.4 5004.64 -599.102
1070 72.055 147.904 -32.2196 94.1918 119.872 29.4714 2999.6 4151.07 794.695
1080 62.6572 111.98 10.4397 90.7536 87.6261 72.7772 2855.36 3040.69 2176.35
1090 59.5104 66.8991 55.272 90.2932 48.4132 115.254 2832.08 1703.78 3529.55
1100 56.2704 11.7987 99.4632 88.6303 4.09036 156.841 2788.9 213.786 4863.11
1110 46.605 -49.2976 141.103 82.5384 -42.8811 197.392 2611.54 -1344.02 6175.16
1120 28.4573 -109.152 182.152 69.9196 -90.1197 236.011 2226.76 -2895.41 7442.43
1130 4.57011 -162.247 225.034 50.2916 -135.245 271.808 1614.86 -4368.4 8635.32
1140 -23.2505 -207.884 268.626 24.4729 -175.647 304.246 812.967 -5682.64 9723.56
1150 -53.5641 -248.389 309.172 -5.37676 -208.637 332.742 -98.6981 -6757.65 10668.1
1160 -82.8329 -284.189 344.177 -35.4145 -232.419 355.955 -1004 -7534 11422.4
1170 -109.058 -310.21 373.618 -61.0012 -246.742 372.174 -1765 -8000.46 11944.3
1180 -128.878 -320.313 396.93 -77.9595 -253.393 380.005 -2269.77 -8205.46 12203.7
1190 -139.612 -314.607 411.148 -84.9603 -254.741 379.013 -2478.53 -8231.47 12186.7
1200 -138.819 -302.178 412.61 -83.2291 -252.317 369.572 -2419.32 -8147.67 11898.2
1210 -126.548 -293.355 398.641 -74.7616 -246.172 352.67 -2144.05 -7976.83 11363.7
1220 -104.83 -288.343 369.364 -60.9076 -236.052 329.325 -1689.61 -7706.2 10620.7
1230 -76.1206 -278.488 327.84 -42.0945 -222.784 300.221 -1064.87 -7324.17 9706.88
1240 -38.7433 -255.844 279.581 -17.8144 -207.384 266.477 -262.708 -6837.77 8665.37
1250 6.98924 -220.91 230.098 11.6008 -190.927 229.872 700.698 -6275.96 7548.94
1260 57.9013 -181.714 182.219 44.356 -174.258 192.59 1753.25 -5687.5 6409.2
1270 106.88 -147.46 137.502 77.4264 -157.72 156.767 2785.12 -5111.08 5288.74
1280 145.594 -122.768 97.7151 107.681 -140.316 124.04 3692.01 -4535.09 4226.54
1290 170.748 -105.35 65.5166 132.517 -120.111 95.7177 4400.18 -3898.21 3270.23
1300 185.728 -87.9917 43.0002 149.898 -95.6609 73.2625 4873.94 -3130.99 2479.84
1310 196.854 -64.0195 30.0793 158.711 -66.726 57.7419 5107.15 -2202.69 1909.14
1320 208.186 -32.1813 23.9521 159.194 -34.8939 49.6488 5108.1 -1158.73 1584.77
1330 216.228 2.44067 21.5409 152.772 -4.08496 48.616 4901.22 -133.202 1502.72
1340 213.922 32.1236 23.2481 141.761 20.0905 53.1759 4535.17 684.92 1627.67
1350 197.26 50.2445 32.7441 128.348 32.3899 60.9184 4072.12 1118.88 1893.59
1360 169.882 52.5981 52.5225 113.823 29.8655 69.6123 3567.53 1070.41 2223.13
1370 139.583 37.3539 77.5474 98.9165 13.0019 78.1779 3064.93 556.095 2554.32
1380 114.512 5.79132 96.6405 84.6877 -14.5973 86.6012 2608.43 -309.012 2848.6
1390 99.458 -37.5398 100.356 72.8563 -47.9995 95.1366 2250.68 -1370.57 3074.33
1400 97.2457 -87.1747 87.3649 65.5056 -82.5801 102.111 2044.51 -2485.01 3187.2
1410 107.753 -138.133 66.1576 64.1374 -113.773 104.671 2019.68 -3516.8 3135.35
1420 125.87 -184.183 46.5883 68.7392 -137.036 100.39 2158.02 -4316.85 2892.11
1430 143.378 -216.215 32.9194 77.3988 -148.976 89.3351 2393.44 -4761.12 2481.11
1440 156.119 -226.348 23.399 86.929 -149.372 73.8553 2637.27 -4817.53 1966.48
1450 162.755 -213.875 15.7298 93.8303 -140.767 56.6559 2806.91 -4547.03 1420.51
1460 163.084 -184.563 8.31448 95.4293 -125.996 39.4987 2837.21 -4042.03 892.982
1470 156.842 -147.603 -1.12396 89.8755 -106.633 22.8208 2675.86 -3368.05 400.491
